1A	1	A	Theatre Square	PROGRAMMING	https://codeforces.com/problemset/problem/1/A	\N	\N	\N
1B	1	B	Spreadsheet	PROGRAMMING	https://codeforces.com/problemset/problem/1/B	\N	\N	\N
1C	1	C	Ancient Berland Circus	PROGRAMMING	https://codeforces.com/problemset/problem/1/C	\N	\N	\N
2A	2	A	Winner	PROGRAMMING	https://codeforces.com/problemset/problem/2/A	\N	\N	\N
2B	2	B	The least round way	PROGRAMMING	https://codeforces.com/problemset/problem/2/B	\N	\N	\N
2C	2	C	Commentator problem	PROGRAMMING	https://codeforces.com/problemset/problem/2/C	\N	\N	\N
3A	3	A	Shortest path of the king	PROGRAMMING	https://codeforces.com/problemset/problem/3/A	\N	\N	\N
3B	3	B	Lorry	PROGRAMMING	https://codeforces.com/problemset/problem/3/B	\N	\N	\N
3C	3	C	Tic-tac-toe	PROGRAMMING	https://codeforces.com/problemset/problem/3/C	\N	\N	\N
3D	3	D	Least Cost Bracket Sequence	PROGRAMMING	https://codeforces.com/problemset/problem/3/D	\N	\N	\N
4A	4	A	Watermelon	PROGRAMMING	https://codeforces.com/problemset/problem/4/A	\N	\N	\N
4B	4	B	Before an Exam	PROGRAMMING	https://codeforces.com/problemset/problem/4/B	\N	\N	\N
4C	4	C	Registration System	PROGRAMMING	https://codeforces.com/problemset/problem/4/C	\N	\N	\N
4D	4	D	Mysterious Present	PROGRAMMING	https://codeforces.com/problemset/problem/4/D	\N	\N	\N
5A	5	A	Chat Servers Outgoing Traffic	PROGRAMMING	https://codeforces.com/problemset/problem/5/A	\N	\N	\N
5B	5	B	Center Alignment	PROGRAMMING	https://codeforces.com/problemset/problem/5/B	\N	\N	\N
5C	5	C	Longest Regular Bracket Sequence	PROGRAMMING	https://codeforces.com/problemset/problem/5/C	\N	\N	\N
5D	5	D	Follow Traffic Rules	PROGRAMMING	https://codeforces.com/problemset/problem/5/D	\N	\N	\N
5E	5	E	Bindian Signalizing	PROGRAMMING	https://codeforces.com/problemset/problem/5/E	\N	\N	\N
6A	6	A	Triangle	PROGRAMMING	https://codeforces.com/problemset/problem/6/A	\N	\N	\N
6B	6	B	President's Office	PROGRAMMING	https://codeforces.com/problemset/problem/6/B	\N	\N	\N
6C	6	C	Alice, Bob and Chocolate	PROGRAMMING	https://codeforces.com/problemset/problem/6/C	\N	\N	\N
6D	6	D	Lizards and Basements 2	PROGRAMMING	https://codeforces.com/problemset/problem/6/D	\N	\N	\N
6E	6	E	Exposition	PROGRAMMING	https://codeforces.com/problemset/problem/6/E	\N	\N	\N
7A	7	A	Kalevitch and Chess	PROGRAMMING	https://codeforces.com/problemset/problem/7/A	\N	\N	\N
7B	7	B	Memory Manager	PROGRAMMING	https://codeforces.com/problemset/problem/7/B	\N	\N	\N
7C	7	C	Line	PROGRAMMING	https://codeforces.com/problemset/problem/7/C	\N	\N	\N
7D	7	D	Palindrome Degree	PROGRAMMING	https://codeforces.com/problemset/problem/7/D	\N	\N	\N
7E	7	E	Defining Macros	PROGRAMMING	https://codeforces.com/problemset/problem/7/E	\N	\N	\N
8A	8	A	Train and Peter	PROGRAMMING	https://codeforces.com/problemset/problem/8/A	\N	\N	\N
8B	8	B	Obsession with Robots	PROGRAMMING	https://codeforces.com/problemset/problem/8/B	\N	\N	\N
8C	8	C	Looking for Order	PROGRAMMING	https://codeforces.com/problemset/problem/8/C	\N	\N	\N
8D	8	D	Two Friends	PROGRAMMING	https://codeforces.com/problemset/problem/8/D	\N	\N	\N
8E	8	E	Beads	PROGRAMMING	https://codeforces.com/problemset/problem/8/E	\N	\N	\N
9A	9	A	Die Roll	PROGRAMMING	https://codeforces.com/problemset/problem/9/A	\N	\N	\N
9B	9	B	Running Student	PROGRAMMING	https://codeforces.com/problemset/problem/9/B	\N	\N	\N
9C	9	C	Hexadecimal's Numbers	PROGRAMMING	https://codeforces.com/problemset/problem/9/C	\N	\N	\N
9D	9	D	How many trees?	PROGRAMMING	https://codeforces.com/problemset/problem/9/D	\N	\N	\N
9E	9	E	Interestring graph and Apples	PROGRAMMING	https://codeforces.com/problemset/problem/9/E	\N	\N	\N
10A	10	A	Power Consumption Calculation	PROGRAMMING	https://codeforces.com/problemset/problem/10/A	\N	\N	\N
10B	10	B	Cinema Cashier	PROGRAMMING	https://codeforces.com/problemset/problem/10/B	\N	\N	\N
10C	10	C	Digital Root	PROGRAMMING	https://codeforces.com/problemset/problem/10/C	\N	\N	\N
10D	10	D	LCIS	PROGRAMMING	https://codeforces.com/problemset/problem/10/D	\N	\N	\N
10E	10	E	Greedy Change	PROGRAMMING	https://codeforces.com/problemset/problem/10/E	\N	\N	\N
11A	11	A	Increasing Sequence	PROGRAMMING	https://codeforces.com/problemset/problem/11/A	\N	\N	\N
11B	11	B	Jumping Jack	PROGRAMMING	https://codeforces.com/problemset/problem/11/B	\N	\N	\N
11C	11	C	How Many Squares?	PROGRAMMING	https://codeforces.com/problemset/problem/11/C	\N	\N	\N
11D	11	D	A Simple Task	PROGRAMMING	https://codeforces.com/problemset/problem/11/D	\N	\N	\N
11E	11	E	Forward, march!	PROGRAMMING	https://codeforces.com/problemset/problem/11/E	\N	\N	\N
12A	12	A	Super Agent	PROGRAMMING	https://codeforces.com/problemset/problem/12/A	\N	\N	\N
12B	12	B	Correct Solution?	PROGRAMMING	https://codeforces.com/problemset/problem/12/B	\N	\N	\N
12C	12	C	Fruits	PROGRAMMING	https://codeforces.com/problemset/problem/12/C	\N	\N	\N
12D	12	D	Ball	PROGRAMMING	https://codeforces.com/problemset/problem/12/D	\N	\N	\N
12E	12	E	Start of the session	PROGRAMMING	https://codeforces.com/problemset/problem/12/E	\N	\N	\N
13A	13	A	Numbers	PROGRAMMING	https://codeforces.com/problemset/problem/13/A	\N	\N	\N
13B	13	B	Letter A	PROGRAMMING	https://codeforces.com/problemset/problem/13/B	\N	\N	\N
13C	13	C	Sequence	PROGRAMMING	https://codeforces.com/problemset/problem/13/C	\N	\N	\N
13D	13	D	Triangles	PROGRAMMING	https://codeforces.com/problemset/problem/13/D	\N	\N	\N
13E	13	E	Holes	PROGRAMMING	https://codeforces.com/problemset/problem/13/E	\N	\N	\N
14A	14	A	Letter	PROGRAMMING	https://codeforces.com/problemset/problem/14/A	\N	\N	\N
14B	14	B	Young Photographer	PROGRAMMING	https://codeforces.com/problemset/problem/14/B	\N	\N	\N
14C	14	C	Four Segments	PROGRAMMING	https://codeforces.com/problemset/problem/14/C	\N	\N	\N
14D	14	D	Two Paths	PROGRAMMING	https://codeforces.com/problemset/problem/14/D	\N	\N	\N
14E	14	E	Camels	PROGRAMMING	https://codeforces.com/problemset/problem/14/E	\N	\N	\N
15A	15	A	Cottage Village	PROGRAMMING	https://codeforces.com/problemset/problem/15/A	\N	\N	\N
15B	15	B	Laser	PROGRAMMING	https://codeforces.com/problemset/problem/15/B	\N	\N	\N
15C	15	C	Industrial Nim	PROGRAMMING	https://codeforces.com/problemset/problem/15/C	\N	\N	\N
15D	15	D	Map	PROGRAMMING	https://codeforces.com/problemset/problem/15/D	\N	\N	\N
15E	15	E	Triangles	PROGRAMMING	https://codeforces.com/problemset/problem/15/E	\N	\N	\N
16A	16	A	Flag	PROGRAMMING	https://codeforces.com/problemset/problem/16/A	\N	\N	\N
16B	16	B	Burglar and Matches	PROGRAMMING	https://codeforces.com/problemset/problem/16/B	\N	\N	\N
16C	16	C	Monitor	PROGRAMMING	https://codeforces.com/problemset/problem/16/C	\N	\N	\N
16D	16	D	Logging	PROGRAMMING	https://codeforces.com/problemset/problem/16/D	\N	\N	\N
16E	16	E	Fish	PROGRAMMING	https://codeforces.com/problemset/problem/16/E	\N	\N	\N
17A	17	A	Noldbach problem	PROGRAMMING	https://codeforces.com/problemset/problem/17/A	\N	\N	\N
17B	17	B	Hierarchy	PROGRAMMING	https://codeforces.com/problemset/problem/17/B	\N	\N	\N
17C	17	C	Balance	PROGRAMMING	https://codeforces.com/problemset/problem/17/C	\N	\N	\N
17D	17	D	Notepad	PROGRAMMING	https://codeforces.com/problemset/problem/17/D	\N	\N	\N
17E	17	E	Palisection	PROGRAMMING	https://codeforces.com/problemset/problem/17/E	\N	\N	\N
18A	18	A	Triangle	PROGRAMMING	https://codeforces.com/problemset/problem/18/A	\N	\N	\N
18B	18	B	Platforms	PROGRAMMING	https://codeforces.com/problemset/problem/18/B	\N	\N	\N
18C	18	C	Stripe	PROGRAMMING	https://codeforces.com/problemset/problem/18/C	\N	\N	\N
18D	18	D	Seller Bob	PROGRAMMING	https://codeforces.com/problemset/problem/18/D	\N	\N	\N
18E	18	E	Flag 2	PROGRAMMING	https://codeforces.com/problemset/problem/18/E	\N	\N	\N
19A	19	A	World Football Cup	PROGRAMMING	https://codeforces.com/problemset/problem/19/A	\N	\N	\N
19B	19	B	Checkout Assistant	PROGRAMMING	https://codeforces.com/problemset/problem/19/B	\N	\N	\N
19C	19	C	Deletion of Repeats	PROGRAMMING	https://codeforces.com/problemset/problem/19/C	\N	\N	\N
19D	19	D	Points	PROGRAMMING	https://codeforces.com/problemset/problem/19/D	\N	\N	\N
19E	19	E	Fairy	PROGRAMMING	https://codeforces.com/problemset/problem/19/E	\N	\N	\N
20A	20	A	BerOS file system	PROGRAMMING	https://codeforces.com/problemset/problem/20/A	\N	\N	\N
20B	20	B	Equation	PROGRAMMING	https://codeforces.com/problemset/problem/20/B	\N	\N	\N
20C	20	C	Dijkstra?	PROGRAMMING	https://codeforces.com/problemset/problem/20/C	\N	\N	\N
21A	21	A	Jabber ID	PROGRAMMING	https://codeforces.com/problemset/problem/21/A	\N	\N	\N
21B	21	B	Intersection	PROGRAMMING	https://codeforces.com/problemset/problem/21/B	\N	\N	\N
21C	21	C	Stripe 2	PROGRAMMING	https://codeforces.com/problemset/problem/21/C	\N	\N	\N
21D	21	D	Traveling Graph	PROGRAMMING	https://codeforces.com/problemset/problem/21/D	\N	\N	\N
22A	22	A	Second Order Statistics	PROGRAMMING	https://codeforces.com/problemset/problem/22/A	\N	\N	\N
22B	22	B	Bargaining Table	PROGRAMMING	https://codeforces.com/problemset/problem/22/B	\N	\N	\N
22C	22	C	System Administrator	PROGRAMMING	https://codeforces.com/problemset/problem/22/C	\N	\N	\N
22D	22	D	Segments	PROGRAMMING	https://codeforces.com/problemset/problem/22/D	\N	\N	\N
22E	22	E	Scheme	PROGRAMMING	https://codeforces.com/problemset/problem/22/E	\N	\N	\N
23A	23	A	You're Given a String...	PROGRAMMING	https://codeforces.com/problemset/problem/23/A	\N	\N	\N
23B	23	B	Party	PROGRAMMING	https://codeforces.com/problemset/problem/23/B	\N	\N	\N
23C	23	C	Oranges and Apples	PROGRAMMING	https://codeforces.com/problemset/problem/23/C	\N	\N	\N
23D	23	D	Tetragon	PROGRAMMING	https://codeforces.com/problemset/problem/23/D	\N	\N	\N
23E	23	E	Tree	PROGRAMMING	https://codeforces.com/problemset/problem/23/E	\N	\N	\N
24A	24	A	Ring road	PROGRAMMING	https://codeforces.com/problemset/problem/24/A	\N	\N	\N
24B	24	B	F1 Champions	PROGRAMMING	https://codeforces.com/problemset/problem/24/B	\N	\N	\N
24C	24	C	Sequence of points	PROGRAMMING	https://codeforces.com/problemset/problem/24/C	\N	\N	\N
24D	24	D	Broken robot	PROGRAMMING	https://codeforces.com/problemset/problem/24/D	\N	\N	\N
24E	24	E	Berland collider	PROGRAMMING	https://codeforces.com/problemset/problem/24/E	\N	\N	\N
25A	25	A	IQ test	PROGRAMMING	https://codeforces.com/problemset/problem/25/A	\N	\N	\N
25B	25	B	Phone numbers	PROGRAMMING	https://codeforces.com/problemset/problem/25/B	\N	\N	\N
25C	25	C	Roads in Berland	PROGRAMMING	https://codeforces.com/problemset/problem/25/C	\N	\N	\N
25D	25	D	Roads not only in Berland	PROGRAMMING	https://codeforces.com/problemset/problem/25/D	\N	\N	\N
25E	25	E	Test	PROGRAMMING	https://codeforces.com/problemset/problem/25/E	\N	\N	\N
26A	26	A	Almost Prime	PROGRAMMING	https://codeforces.com/problemset/problem/26/A	\N	\N	\N
26B	26	B	Regular Bracket Sequence	PROGRAMMING	https://codeforces.com/problemset/problem/26/B	\N	\N	\N
26C	26	C	Parquet	PROGRAMMING	https://codeforces.com/problemset/problem/26/C	\N	\N	\N
26D	26	D	Tickets	PROGRAMMING	https://codeforces.com/problemset/problem/26/D	\N	\N	\N
26E	26	E	Multithreading	PROGRAMMING	https://codeforces.com/problemset/problem/26/E	\N	\N	\N
27A	27	A	Next Test	PROGRAMMING	https://codeforces.com/problemset/problem/27/A	\N	\N	\N
27B	27	B	Tournament	PROGRAMMING	https://codeforces.com/problemset/problem/27/B	\N	\N	\N
27C	27	C	Unordered Subsequence	PROGRAMMING	https://codeforces.com/problemset/problem/27/C	\N	\N	\N
27D	27	D	Ring Road 2	PROGRAMMING	https://codeforces.com/problemset/problem/27/D	\N	\N	\N
27E	27	E	Number With The Given Amount Of Divisors	PROGRAMMING	https://codeforces.com/problemset/problem/27/E	\N	\N	\N
28A	28	A	Bender Problem	PROGRAMMING	https://codeforces.com/problemset/problem/28/A	\N	\N	\N
28B	28	B	pSort	PROGRAMMING	https://codeforces.com/problemset/problem/28/B	\N	\N	\N
28C	28	C	Bath Queue	PROGRAMMING	https://codeforces.com/problemset/problem/28/C	\N	\N	\N
28D	28	D	Don't fear, DravDe is kind	PROGRAMMING	https://codeforces.com/problemset/problem/28/D	\N	\N	\N
28E	28	E	DravDe saves the world	PROGRAMMING	https://codeforces.com/problemset/problem/28/E	\N	\N	\N
29A	29	A	Spit Problem	PROGRAMMING	https://codeforces.com/problemset/problem/29/A	\N	\N	\N
29B	29	B	Traffic Lights	PROGRAMMING	https://codeforces.com/problemset/problem/29/B	\N	\N	\N
29C	29	C	Mail Stamps	PROGRAMMING	https://codeforces.com/problemset/problem/29/C	\N	\N	\N
29D	29	D	Ant on the Tree	PROGRAMMING	https://codeforces.com/problemset/problem/29/D	\N	\N	\N
29E	29	E	Quarrel	PROGRAMMING	https://codeforces.com/problemset/problem/29/E	\N	\N	\N
30A	30	A	Accounting	PROGRAMMING	https://codeforces.com/problemset/problem/30/A	\N	\N	\N
30B	30	B	Codeforces World Finals	PROGRAMMING	https://codeforces.com/problemset/problem/30/B	\N	\N	\N
30C	30	C	Shooting Gallery	PROGRAMMING	https://codeforces.com/problemset/problem/30/C	\N	\N	\N
30D	30	D	King's Problem?	PROGRAMMING	https://codeforces.com/problemset/problem/30/D	\N	\N	\N
30E	30	E	Tricky and Clever Password	PROGRAMMING	https://codeforces.com/problemset/problem/30/E	\N	\N	\N
31A	31	A	Worms Evolution	PROGRAMMING	https://codeforces.com/problemset/problem/31/A	\N	\N	\N
31B	31	B	Sysadmin Bob	PROGRAMMING	https://codeforces.com/problemset/problem/31/B	\N	\N	\N
31C	31	C	Schedule	PROGRAMMING	https://codeforces.com/problemset/problem/31/C	\N	\N	\N
31D	31	D	Chocolate	PROGRAMMING	https://codeforces.com/problemset/problem/31/D	\N	\N	\N
31E	31	E	TV Game	PROGRAMMING	https://codeforces.com/problemset/problem/31/E	\N	\N	\N
32A	32	A	Reconnaissance	PROGRAMMING	https://codeforces.com/problemset/problem/32/A	\N	\N	\N
