problem_id,tag_id
1000A,20
1000A,22
1000B,20
1000C,8
1000C,22
1000C,31
1000D,6
1000D,11
1000E,9
1000E,19
1000E,35
1000F,8
1000F,10
1000G,8
1000G,11
1000G,35
1001A,37
1001B,37
1001C,37
1001D,37
1001E,37
1001F,37
1001G,37
1001H,37
1001I,37
1003A,22
1003B,7
1003C,4
1003C,22
1003C,24
1003D,20
1003E,7
1003E,19
1003F,11
1003F,21
1003F,33
1004A,22
1004B,7
1004B,20
1004B,22
1004B,24
1004C,7
1004C,22
1004D,4
1004D,7
1004D,22
1004E,2
1004E,8
1004E,11
1004E,20
1004E,30
1004E,35
1004F,3
1004F,8
1004F,10
1005A,22
1005B,4
1005B,22
1005B,33
1005C,4
1005C,20
1005C,22
1005D,11
1005D,20
1005D,27
1005E1,31
1005E2,31
1005F,4
1005F,9
1005F,19
1005F,30
1006A,22
1006B,20
1006B,22
1006B,31
1006C,2
1006C,8
1006C,36
1006D,22
1006E,9
1006E,19
1006E,35
1006F,3
1006F,4
1006F,11
1006F,26
1007A,6
1007A,8
1007A,24
1007A,31
1007A,36
1007B,3
1007B,4
1007B,6
1007B,24
1007B,27
1007C,2
1007C,23
1007D,1
1007D,8
1007D,35
1007E,11
1008A,22
1008A,33
1008B,20
1008B,31
1009A,22
1009B,20
1009B,22
1009C,20
1009C,24
1009D,4
1009D,7
1009D,19
1009D,20
1009D,24
1009E,6
1009E,24
1009E,28
1009F,8
1009F,12
1009F,35
1009G,3
1009G,15
1009G,18
1009G,19
1009G,20
100A,22
100A,37
100B,22
100B,37
100C,22
100C,37
100D,33
100D,37
100E,24
100E,37
100F,22
100F,37
100G,8
100G,22
100G,37
100H,9
100H,22
100H,37
100I,17
100I,24
100I,37
100J,20
100J,24
100J,37
1010A,2
1010A,24
1010B,2
1010B,23
1010C,27
1010D,9
1010D,19
1010D,22
1010D,35
1010E,8
1010F,14
1010F,19
1010F,35
1011A,20
1011A,22
1011A,31
1011B,2
1011B,4
1011B,22
1012A,4
1012A,22
1012A,24
1012A,31
1012B,7
1012B,9
1012B,12
1012B,19
1012B,25
1012C,11
1012D,7
1012D,33
1012E,12
1012E,24
1012F,11
1012F,22
1013A,24
1013B,20
1015A,22
1015B,22
1015C,31
1015D,7
1015D,20
1015E1,4
1015E1,11
1015E1,20
1015E2,2
1015E2,11
1015E2,20
1015F,11
1015F,33
1016A,20
1016A,22
1016A,24
1016B,4
1016B,22
1016C,11
1016C,22
1016D,7
1016D,15
1016D,24
1016E,2
1016E,17
1016F,9
1016F,11
1016F,35
1016G,3
1016G,24
1016G,27
1017A,22
1017B,22
1017B,24
1017C,7
1017C,20
1017D,3
1017D,4
1017D,8
1017E,17
1017E,21
1017E,33
1017F,4
1017F,24
1017G,8
1017H,4
1019A,4
1019A,20
1019B,2
1019B,23
1019C,7
1019C,19
1019D,2
1019D,17
1019D,31
1019E,8
1019E,10
1019E,35
101A,20
101B,2
101B,8
101B,11
101C,22
101C,24
101D,11
101D,20
101D,28
101D,31
101D,35
101E,10
101E,11
1020A,24
1020B,4
1020B,9
1020B,19
1023A,4
1023A,22
1023A,33
1023B,24
1023C,20
1023D,7
1023D,8
1023E,7
1023E,23
1023E,25
1023F,9
1023F,12
1023F,19
1023F,35
1023G,8
1023G,15
1023G,35
1025A,22
1025A,31
1025B,4
1025B,20
1025B,27
1025C,7
1025C,22
1025D,4
1025D,11
1025D,24
1025D,27
1025D,35
1025E,7
1025E,22
1025E,25
1025F,17
1025G,7
1025G,24
1027A,22
1027A,33
1027B,22
1027B,24
1027C,20
1027D,9
1027D,19
1027E,6
1027E,11
1027E,24
1027F,2
